date,hour_beginning,contract_value,label
4/28/19,22,31.675,actual
4/28/19,23,34.735,actual
4/29/19,0,33.8,actual
4/29/19,1,32.205,actual
4/29/19,2,32.1725,actual
4/29/19,3,21.475,actual
4/29/19,4,10.425,actual
4/29/19,5,4,actual
4/29/19,6,9.0625,actual
4/29/19,7,36.4325,actual
4/29/19,8,33.7575,actual
4/29/19,9,36.925,actual
4/29/19,10,39.37,actual
4/29/19,11,41.74,actual
4/29/19,12,71.0275,actual
4/29/19,13,68.895,actual
4/29/19,14,34.11,actual
4/29/19,15,39.3975,actual
4/29/19,16,16.2725,actual
4/29/19,17,1.3075,actual
4/29/19,18,-0.27,actual
4/29/19,19,-0.605,actual
4/29/19,20,-1.2775,actual
4/29/19,21,-0.755,actual
4/29/19,22,-0.78,actual
4/29/19,23,-0.755,actual
4/30/19,0,-0.7175,actual
4/30/19,1,-0.7025,actual
4/30/19,2,-0.8575,actual
4/30/19,3,-1.2275,actual
4/30/19,4,-1.5625,actual
4/30/19,5,-2.015,actual
4/30/19,6,-6.195,actual
4/30/19,7,-1.7575,actual
4/30/19,8,-1.3675,actual
4/30/19,9,-2.0825,actual
4/30/19,10,0.2475,actual
4/30/19,11,0.2475,actual
4/30/19,12,0.5975,actual
4/30/19,13,0.4725,actual
4/30/19,14,-0.2475,actual
4/30/19,15,-0.46,actual
4/30/19,16,-0.16,actual
4/30/19,17,-0.5425,actual
4/30/19,18,-0.6075,actual
4/30/19,19,-0.8775,actual
4/30/19,20,-2.57,actual
4/30/19,21,-1.2575,actual
4/30/19,22,-1.0275,actual
4/30/19,23,-1.01,actual
5/1/19,0,-0.7425,actual
5/1/19,1,-0.655,actual
5/1/19,2,-0.7575,actual
5/1/19,3,-0.675,actual
5/1/19,4,-0.7125,actual
5/1/19,5,-0.62,actual
5/1/19,6,-0.5875,actual
5/1/19,7,-0.92,actual
5/1/19,8,-0.695,actual
5/1/19,9,-0.56,actual
5/1/19,10,-0.8075,actual
5/1/19,11,-0.52,actual
5/1/19,12,-0.085,actual
5/1/19,13,-1.505,actual
5/1/19,14,-0.14,actual
5/1/19,15,-0.245,actual
5/1/19,16,-0.205,actual
5/1/19,17,-0.0775,actual
5/1/19,18,0.5025,actual
5/1/19,19,-0.9875,actual
5/1/19,20,-0.805,actual
5/1/19,21,-0.42,actual
5/1/19,22,-0.285,actual
5/1/19,23,0.3,actual
5/2/19,0,0.7675,actual
5/2/19,1,23.0375,actual
5/2/19,2,19.8375,actual
5/2/19,3,21.0675,actual
5/2/19,4,29.32,actual
5/2/19,5,33.82,actual
5/2/19,6,25.355,actual
5/2/19,7,34.03,actual
5/2/19,8,22.205,actual
5/2/19,9,0.4175,actual
5/2/19,10,0.645,actual
5/2/19,11,0.135,actual
5/2/19,12,0.0525,actual
5/2/19,13,-0.12,actual
5/2/19,14,-0.145,actual
5/2/19,15,-0.125,actual
5/2/19,16,-0.2125,actual
5/2/19,17,-0.2425,actual
5/2/19,18,-0.1025,actual
5/2/19,19,-0.0225,actual
5/2/19,20,0,actual
5/2/19,21,0,actual
5/2/19,22,0,actual
5/2/19,23,0,actual
5/3/19,0,0,actual
5/3/19,1,0,actual
5/3/19,2,0,actual
5/3/19,3,0,actual
5/3/19,4,0,actual
5/3/19,5,-0.185,actual
5/3/19,6,-0.065,actual
5/3/19,7,-0.67,actual
5/3/19,8,0,actual
5/3/19,9,0,actual
5/3/19,10,-0.02,actual
5/3/19,11,-0.1725,actual
5/3/19,12,-0.3625,actual
5/3/19,13,-0.0125,actual
5/3/19,14,-0.0125,actual
5/3/19,15,-0.0125,actual
5/3/19,16,-0.0075,actual
5/3/19,17,0,actual
5/3/19,18,0,actual
5/3/19,19,0.01,actual
5/3/19,20,0,actual
5/3/19,21,0.52,actual
5/3/19,22,0.5125,actual
5/3/19,23,0.17,actual
5/4/19,0,0,actual
5/4/19,1,0,actual
5/4/19,2,0,actual
5/4/19,3,0,actual
5/4/19,4,0,actual
5/4/19,5,0,actual
5/4/19,6,0,actual
5/4/19,7,0,actual
5/4/19,8,0,actual
5/4/19,9,0,actual
5/4/19,10,0,actual
5/4/19,11,0,actual
5/4/19,12,0.4075,actual
5/4/19,13,0.4725,actual
5/4/19,14,0.6925,actual
5/4/19,15,-0.01,actual
5/4/19,16,-0.18,actual
5/4/19,17,-0.0325,actual
5/4/19,18,-0.195,actual
5/4/19,19,-0.09,actual
5/4/19,20,12.7475,actual
5/4/19,21,13.995,actual
5/4/19,22,9.71,actual
